Feature,Importance
TotX_FFTMean,0.06322029812355921
TotX_Max,0.05035611122721646
TotZ_FFTStd,0.04268597846298107
TotX_Std,0.0413905264244699
GyrX_Mean,0.03341208010671662
BodX_Std,0.03295094833129138
TotX_FFTStd,0.032854618939888926
SMA_Bod,0.031823266423665494
TotX_Mean,0.031726332579334465
BodX_FFTMean,0.031021186096572912
TotZ_Entr,0.025467798464030154
BodX_Max,0.024736817183183414
BodY_FFTMean,0.02403156153683566
BodY_Std,0.022656835865790446
SMA_Gyr,0.021271588373335017
BodX_FFTStd,0.02113258749810317
TotZ_Mean,0.02094973638108794
TotY_Mean,0.01977562828870284
BodZ_FFTStd,0.01789326955261048
SMA_Tot,0.016752732465395527
GyrY_Entr,0.016073611201661838
TotX_Entr,0.015071156368782049
BodZ_Mean,0.014674862994975191
BodZ_Entr,0.014299457438239894
TotY_Max,0.013742226855926513
TotY_FFTStd,0.013740411335958389
TotZ_FFTMean,0.012174018495757187
GyrX_Max,0.012023560622908038
GyrY_Std,0.011915784908243368
BodZ_Std,0.01184486532283797
GyrY_FFTMean,0.011729495629675166
TotZ_Max,0.011617125160008875
GyrX_FFTStd,0.011426397532729091
GyrX_Entr,0.011351757136041453
GyrX_Std,0.010855377699728918
BodZ_FFTMean,0.010347001882120743
GyrX_FFTMean,0.009400313145560765
GyrY_FFTStd,0.009037711310951664
TotY_FFTMean,0.009013017898871177
GyrZ_Std,0.008737900194318977
BodY_FFTStd,0.008108150594988234
TotY_Entr,0.007993406985373952
GyrZ_Entr,0.0078055959949055
GyrZ_FFTStd,0.007305628372870929
TotZ_Std,0.006879151337219046
TotX_Skew,0.006621582266562632
GyrX_Kurt,0.006580822002204611
BodX_Kurt,0.005974137385769682
GyrZ_FFTMean,0.00583234324894161
TotY_Std,0.005674594905095876
GyrY_Max,0.005478423170833921
BodX_Entr,0.00534161672164043
BodX_Mean,0.005339906127927198
BodY_Max,0.005250834275052748
BodX_Skew,0.005113893463308014
TotZ_Skew,0.004173031776567528
BodZ_Max,0.00417241220482274
BodY_Entr,0.0038485710216244174
GyrX_Skew,0.0037138118381427696
TotY_Skew,0.0037137788839883145
TotX_Kurt,0.003542008726310242
BodY_Mean,0.0034868463151739608
GyrY_Kurt,0.0033823014521511745
GyrZ_Mean,0.003250158263106894
GyrZ_Max,0.0030940305115145696
BodY_Skew,0.0029335170367617274
BodY_Kurt,0.0027246135579876087
GyrY_Mean,0.0026133955312152685
GyrZ_Kurt,0.002515370205658804
GyrY_Skew,0.0022928678549967016
GyrZ_Skew,0.0022717362061200333
TotZ_Kurt,0.0021149736183741167
BodZ_Kurt,0.0020864860269320276
TotY_Kurt,0.0019172770918398276
BodZ_Skew,0.0016667695639485736
